Time	Reference	Direct (Unifrom)	Direct(Non-uniform)	MPC(Unifrom)	MPC(Non-Uniform)	MPC(Non-Unifrom with  INL Feedback)	MPC Truncated
0.0	4.0	4	4.62	2	2.51	2.51	2.0
0.001	4.125643036312513	4	4.62	7	7.11	7.11	6.0
0.002	4.251162078117254	4	4.62	2	2.51	4.62	0.999999999999996
0.003	4.376433253274057	4	4.62	6	6.529999999999999	0.0	-0.0
0.004	4.501332934257217	5	4.62	3	2.51	11.83	8.0
0.005	4.625737860160924	5	4.62	6	6.529999999999999	0.0	-0.0
0.006	4.749525258342898	5	4.62	4	4.62	6.529999999999999	4.0
0.007	4.87257296558617	5	4.62	5	4.62	6.65	3.0
0.008	4.994759548659419	5	4.62	5	4.62	4.62	1.0
0.009000000000000001	5.1159644241569175	5	5.39	5	4.62	2.51	2.0
0.01	5.23606797749979	5	5.39	6	6.529999999999999	11.83	8.0
0.011	5.3549516809811655	5	5.39	4	4.62	0.0	-0.0
0.012	5.472498210738712	5	5.39	7	7.11	7.11	6.0
0.013000000000000001	5.588591562539122	6	5.39	4	4.62	7.11	6.0
0.014	5.703117166260291	6	5.39	7	7.11	6.65	3.0
0.015	5.815961998958187	6	5.39	5	4.62	2.51	2.0
0.016	5.927014696406861	6	5.39	6	6.529999999999999	11.83	8.0
0.017	6.036165663001485	6	6.529999999999999	7	7.11	0.0	-0.0
0.018000000000000002	6.143307179915986	6	6.529999999999999	5	4.62	11.83	8.0
0.019	6.248333511408522	6	6.529999999999999	7	7.11	4.62	1.0
0.02	6.3511410091698925	6	6.529999999999999	6	6.529999999999999	6.529999999999999	4.0
0.021	6.451628214611906	6	6.529999999999999	6	6.529999999999999	5.39	5.0
0.022	6.549695958994759	7	6.529999999999999	8	7.11	9.19	7.0
0.023	6.645247461294607	7	6.65	5	4.62	6.529999999999999	4.0
0.024	6.738188423714755	7	6.65	8	7.11	6.529999999999999	4.0
0.025	6.82842712474619	7	6.65	6	6.529999999999999	5.39	5.0
0.026000000000000002	6.915874509685646	7	7.11	7	7.11	11.83	8.0
0.027	7.000444278521838	7	7.11	8	7.11	4.62	1.0
0.028	7.082052971103157	7	7.11	6	6.529999999999999	5.39	5.0
0.029	7.160620049502762	7	7.11	8	7.11	11.83	8.0
0.03	7.23606797749979	7	7.11	7	7.11	6.65	3.0
0.031	7.308322297098247	7	7.11	7	7.11	6.529999999999999	4.0
0.032	7.37731170200806	7	7.11	8	7.11	7.11	6.0
0.033	7.442968108015775	7	7.11	7	7.11	11.83	8.0
0.034	7.505226720175455	8	7.11	8	7.11	4.62	1.0
0.035	7.564026096753471	8	7.11	7	7.11	7.11	6.0
0.036000000000000004	7.619308209864078	8	7.11	8	7.11	11.83	8.0
0.037	7.671018502735924	8	7.11	8	7.11	6.65	3.0
0.038	7.719105943553005	8	7.11	7	7.11	5.39	5.0
0.039	7.763523075816902	8	7.11	8	7.11	11.83	8.0
0.04	7.804226065180615	8	7.11	8	7.11	6.529999999999999	4.0
0.041	7.841174742707772	8	7.11	8	7.11	7.11	6.0
0.042	7.874332644514524	8	7.11	8	7.11	11.83	8.0
0.043000000000000003	7.90366704775499	8	7.11	7	7.11	6.65	3.0
0.044	7.929149002914754	8	7.11	8	7.11	5.39	5.0
